Year,"Life expectancy at birth, total (years)",Access to electricity (% of population),"Compulsory education, duration (years)",Aquaculture production (metric tons)
1960,69.77073171,..,..,104421
1961,70.27073171,..,..,102547
1962,70.1195122,..,..,109961
1963,69.91707317,..,..,122697
1964,70.16585366,..,..,123884
1965,70.21463415,..,..,132578
1966,70.21219512,..,..,114236
1967,70.56097561,..,..,127299
1968,69.95121951,..,..,131115
1969,70.50731707,..,..,116768
1970,70.80731707,..,..,168681
1971,71.10731707,..,..,165590
1972,71.15609756,..,..,173630
1973,71.35609756,..,..,170320
1974,71.95609756,..,..,167039
1975,72.60487805,..,..,218459
1976,72.85609756,..,..,183907
1977,73.25609756,..,..,174310
1978,73.35609756,..,..,158795
1979,73.80487805,..,..,138990
1980,73.6097561,..,..,168365
1981,74.0097561,..,..,230111
1982,74.36097561,..,..,261725
1983,74.46341463,..,..,268483
1984,74.56341463,..,..,326453
1985,74.56341463,..,..,323573
1986,74.61463415,..,..,372191
1987,74.76585366,..,..,383259
1988,74.76585366,..,..,357657
1989,75.01707317,..,..,369252
1990,75.21463415,100,..,315727
1991,75.36585366,100,..,363083
1992,75.61707317,100,..,413844
1993,75.4195122,100,..,416913
1994,75.6195122,100,..,391412
1995,75.62195122,100,..,413454
1996,76.02682927,100,..,393346
1997,76.42926829,100,..,438356
1998,76.5804878,100,12,445119
1999,76.58292683,100,12,479212
2000,76.63658537,100,12,456830
2001,76.83658537,100,12,480362
2002,76.93658537,100,12,498899
2003,77.03658537,100,12,545971
2004,77.48780488,100,12,607570
2005,77.48780488,100,12,513920
2006,77.68780488,100,12,519967
2007,77.98780488,100,12,526045
2008,78.03902439,100,12,501326
2009,78.3902439,100,12,481224
2010,78.54146341,100,12,496699
2011,78.64146341,100,12,397292
2012,78.74146341,100,12,420386
2013,78.74146341,100,12,429011
2014,78.84146341,100,12,421189
2015,78.6902439,100,12,426014.5
2016,78.53902439,100,12,444697.5
2017,78.53902439,100,12,439703
2018,78.63902439,100,12,471311.35
2019,78.78780488,100,12,496094.85
2020,76.9804878,100,12,448574.61
2021,76.32926829,100,12,461639.12
2022,77.43414634,100,12,478823.94
2023,78.38536585,100,12,..
2024,..,..,..,..
